"Award_Num","Abstract","Discipline","End_Year","Funding_Agency","PI","Place","Program","Project_Title","Region","Season","Start_Year"
"1603149","Just like changes in blood chemistry can be used to diagnose an individual's health, so too can changes in river water chemistry be used to evaluate the condition of a river's watershed. In the Arctic, six massive rivers capture freshwater runoff from two-thirds of the land area that drains to the Arctic Ocean. The chemistry of this runoff reflects watershed characteristics (e.g. soil composition), and carries essential nutrients to the marine environment. The overarching scientific objective of the Arctic Great Rivers Observatory (Arctic-GRO) is to make sustained observations of the chemistry of these six large rivers, which is vital for assessing changes on land that subsequently impact physical, chemical, and biological properties of the Arctic Ocean. The project involves partnerships with the Yukon River Intertribal Watershed Council, The Pilot Station Traditional Council, the Gwichya Gwich'in Renewable Resource Council, and with the University of Alaska at Kuskowkwin community college that serves the largely Yup’ik residents of the Yukon-Kuskowkwim Delta. .     The six rivers included in the Arctic Great Rivers Observatory are the Yukon and Mackenzie in North American and the Ob, Yenisey, Lena, and Kolyma in Eurasia. The rivers will be sampled near their mouths, every two months for three years, using identical sample collection and preservation protocols. Approximately 40 parameters will be measured on all samples including dissolved and particulate organic carbon concentrations and isotopic compositions, concentrations of dissolved nutrients, major ions, and trace elements, and optical properties of dissolved organic matter, including UV absorbance and fluorescence excitation-emission matrices. For QA/QC purposes, every analysis will be conducted at a single laboratory. The resulting data, along with complementary data on river discharge, will be made available without restriction at the Arctic-GRO website (arcticgreatrivers.org) and through the NSF Arctic Data Center. Arctic-GRO data, which build on observatory records that extend back to 2003, provide valuable end-members for the oceanographic research community as well as for analyses of terrestrial landscape change.","Geological Sciences","2019","","Spencer, Robert","Kolyma River","","Collaborative Research: AON: The Arctic Great Rivers Observatory (Arctic-GRO)","Russia ","2018","2016"
"1603214","Arctic ecosystems are warming at some of the fastest rates observed on earth. In particular, Arctic lakes are experiencing more frequent years of warmer and deeper surface water. However, the ability to detect and quantify ecosystem effects and specific biological responses to these climatic changes has been primarily limited to non-mechanistic modeled scenarios and observational studies in uncontrolled environments. These lakes provide subsistence harvest for native communities in the Arctic and it is important to understand how the level of sustainable harvests might change under scenarios of continued warming. Researchers will manipulate the temperature regime of selected Arctic lakes, observe the consequent changes of the lake ecosystem, and model these. This project will contribute to STEM workforce development through provision of support for the training of graduate students at two institutions. It will also entrain undergraduate students into the research. Through a collaboration with the US Fish and Wildlife Service, the principal investigators will provide outreach to Iñupiat high school students via the Kaktovik Science Camp and to Iñupiat K-12 students via the Arctic Village Science Camp Goonzhii. They will contribute to the management of natural resources by presentations through established collaborations with the US Fish and Wildlife Service and the Alaska Department of Fish and Game, as well as through an interactive seminar series with local communities, e.g. the North Slope Borough of Alaska.    This project will complete a multi-year, whole-lake warming manipulation, to quantify the effects of future climate change on lake ecosystems in the Arctic. In addition, regional climate and lake models will be coupled with biotic responses to better understand the sensitivity of lakes to changing atmospheric conditions. The project is designed to answer: How will warmer lake temperatures and extended growing season alter (1) lake ice coverage and annual thermal regime; (2) abundance, activity, and diversity of primary and secondary producers; (3) fish vital rates, production, and dynamics; and (4) degree of carry-over across growing seasons and cumulative effects. Experimental results will be combined with long-term, archived data to inform a linked modeling system (coupled lake-climate model and integrated physical, climate, biological, and bioenergetic modeling) to answer: How will warmer lake temperatures and an extended growing season alter: (1) lake thermal regimes at regional scales, and (2) fish populations across lake types of the Arctic. This research will quantify lake thermal processes and lake-atmosphere feedbacks, provide more precise projections of lake horizontal and vertical temperature structures, and document and project lake biota and ecosystem responses to changes in lake thermal condition over large spatial scales and under different climate scenarios.","Biology","2022","","Giblin, Anne","Toolik","","Collaborative Research: An exploration of the direct and indirect effects of climatic warming on arctic lake ecosystems","Alaska ","2016, 2017, 2018, 2019, 2022","2016"
"1603239","One important factor that controls ice sheet melt is its physical properties. Using modern microstructural characterization techniques, the PI will determine the mechanisms of ice core densification and microstructure evolution as a function of depth. An 80 meter firn core will be drilled at Summit, Greenland, and transported to Dartmouth College. For the shallow part of the core, where the firn is subjected to seasonal and diurnal temperature gradients, the PI will impose Greenlandic in situ temperature gradients at the core boundaries. Continuous X-ray micro-computed tomography (microCT) will be used to monitor densification and microstructure evolution. For the deep part of the core, a Greenlandic in situ temperature gradient does not exist over the length of the core. However, it does experience stresses from the weight of the overburden. The PI will therefore conduct in situ loading experiments on the deep core. Continuous microCT will be used to monitor densification and microstructure evolution. After the completion of the microCT experiments, the firn will be sectioned and examined in a cold-stage-equipped scanning electron microscope. Electron backscattering and energy dispersive X-ray spectroscopy will be used to determine ice crystal orientations and local microchemistry.","Cryosphere","2019","","","Kangerlussuaq, Summit","","Dynamic Observations of the Evolution of Firn","Greenland ","2017","2016"
"1603253","The importance of Boreal and Arctic landscapes is recognized by the scientific community as an important area of research. The overarching theory to be tested in this grant is that the current controls over vegetation growth are not operating as they have been in the past. The investigators have at hand a detailed network of ground measurements of tree-ring data collected across a range of Boreal and Arctic forests and shrublands sites in Alaska and adjacent Canada. This data will be compared with satellite based remote sensing proxies of vegetation productivity. The work is by and large an analysis and comparison of two independent methods for assessing vegetation growth variability in Arctic ecosystems.    This project will contribute to the education of the general public (e.g. annual open house exhibits, websites, blogs from the field), and will partially fund a post-doctoral researcher who will have the opportunity to expand their scientific experience and knowledge of this topic.    This work will focus on Boreal and Arctic forests and shrublands across Alaska and adjacent Canada, regions that are experiencing some of the most rapid warming on the globe today. Satellite observations have revealed significant vegetation productivity trends (both greening and browning) of vegetation at high northern latitudes, with distinct differences between North America and northern Eurasia biomes and between tundra and boreal regions. At the same time, some observations show that the strong correlation between northern tree growth and temperature appears to be weakening in recent decades. The overarching theory to be tested in this project is that the current controls over vegetation growth are not operating as they have been in the past. The investigators have at hand a detailed network of in situ ground measurements of tree-ring data collected from across this region. This data will be compared with remote sensing proxies of vegetation productivity (from satellite NDVI), across a range of Boreal and Arctic forests and shrublands sites in Alaska and adjacent Canada. The work will include one year of field data in regions of high priority where the investigators will extract up to date tree ring cores for comparison with recent air temperature and remote sensing records.","Biology","2019","","Goetz, Scott","Arrigetch Peaks, Noatak River","","Collaborative Research: Determining the Vulnerability and Resilience of Boreal Forests and Shrubs across Northwestern North America","Alaska ","2017","2016"
"1603259","The edge of the shallow continental shelf (called the 'shelf break') in the Beaufort Sea is vulnerable both to direct impacts of ongoing climate change and to indirect impacts that may result from increased human activity in response to new opportunities associated with ocean warming and sea ice reduction. Beaufort Sea shelf break upwelling may be increasing in frequency in response to recent large-scale atmospheric changes, potentially increasing the importance of the shelf-break environment for a range of upper trophic level animals. This grant will support research to increase our understanding of the importance of the region to upper trophic levels such as beluga whales, seabirds, and seals, provide a mechanistic understanding of the linked atmosphere-ocean- plankton-predator system, and predict future consequences and impacts of environmental change on this system.     A substantial communications program built upon long-standing, well-established relationships between the researchers and Alaska North Slope communities and subsistence organizations is planned both to coordinate the planned sampling and to convey the results of the research back to the communities. Information will be disseminated locally before and during two research cruises using a range of media including daily email reports, Facebook pages, blogs, interviews on local radio stations, and flyers. A comprehensive project report, a summary report written in straightforward English, and a poster describing results will be disseminated to the North Slope communities. Project members will also present results of the research in local lecture series or to interested local organizations. Involvement of a K-12 teacher in at least one of the cruises is planned. Both cruises will have the participation of a local community observer who will communicate directly with local communities during the cruise and share local knowledge with the science party.     The Beaufort Sea shelf break experiences frequent upwelling of deep, nutrient rich basin water onto the shelf. Such upwelling is not only a short-term source of heat, salt, and nutrients, and a mechanism promoting elevated primary production (production response), but it also transports populations between ocean regions and depth strata or regimes (physical response), potentially modifying ecosystem structure and availability of zooplankton and fish prey to upper trophic level consumers. The Beaufort Sea shelf break is a domain of enhanced abundance of upper trophic level animals, presumably in response to elevated availability of their prey. Here researchers will explore and identify the mechanisms linking broad-scale atmospheric forcing, ocean physical response, prey-base condition and distribution, upper trophic level animal aggregations, and climate change along the Beaufort Shelf break. The project's overarching hypothesis is that atmospherically-forced (wind-induced) upwelling along this shelf break leads to enhanced feeding opportunities for intermediate links in the pelagic ecosystem (zooplankton, forage fish) that in turn sustain the exploitation of this environment by animals such as beluga whales, seabirds, and seals. This hypothesis will be addressed using a combination of ship-based fieldwork, long-term moorings equipped with physical and biological sensors, and syntheses of retrospective and projected model output and longer-term data. The distributions, abundances, condition, and biology of multiple trophic levels will be described within the context of the dynamics of the physical environment to expand our understanding of trophic linkages and the importance of shelf-break upwelling to that system. Physical and biological model output and retrospective data will be synthesized with the mechanistic understanding gained during the field program to retrospectively characterize wind-driven upper trophic level ecosystem variability and predict how the ecosystem may respond to future projections of these atmospheric drivers and ice-ocean conditions.","Oceanography","2019","","Stafford, Kathleen","Beaufort Sea, Kaktovik, Nome, Utqiaġvik","","Collaborative Research: The Importance of Shelf Break Upwelling to Upper Trophic Level Ecology in the Western Beaufort Sea","Alaska ","2017, 2018, 2019","2016"
"1603302","Arctic ecosystems are warming at some of the fastest rates observed on earth. In particular, Arctic lakes are experiencing more frequent years of warmer and deeper surface water. However, the ability to detect and quantify ecosystem effects and specific biological responses to these climatic changes has been primarily limited to non-mechanistic modeled scenarios and observational studies in uncontrolled environments. These lakes provide subsistence harvest for native communities in the Arctic and it is important to understand how the level of sustainable harvests might change under scenarios of continued warming. Researchers will manipulate the temperature regime of selected Arctic lakes, observe the consequent changes of the lake ecosystem, and model these. This project will contribute to STEM workforce development through provision of support for the training of graduate students at two institutions. It will also entrain undergraduate students into the research. Through a collaboration with the US Fish and Wildlife Service, the principal investigators will provide outreach to Iñupiat high school students via the Kaktovik Science Camp and to Iñupiat K-12 students via the Arctic Village Science Camp Goonzhii. They will contribute to the management of natural resources by presentations through established collaborations with the US Fish and Wildlife Service and the Alaska Department of Fish and Game, as well as through an interactive seminar series with local communities, e.g. the North Slope Borough of Alaska.    This project will complete a multi-year, whole-lake warming manipulation, to quantify the effects of future climate change on lake ecosystems in the Arctic. In addition, regional climate and lake models will be coupled with biotic responses to better understand the sensitivity of lakes to changing atmospheric conditions. The project is designed to answer: How will warmer lake temperatures and extended growing season alter (1) lake ice coverage and annual thermal regime; (2) abundance, activity, and diversity of primary and secondary producers; (3) fish vital rates, production, and dynamics; and (4) degree of carry-over across growing seasons and cumulative effects. Experimental results will be combined with long-term, archived data to inform a linked modeling system (coupled lake-climate model and integrated physical, climate, biological, and bioenergetic modeling) to answer: How will warmer lake temperatures and an extended growing season alter: (1) lake thermal regimes at regional scales, and (2) fish populations across lake types of the Arctic. This research will quantify lake thermal processes and lake-atmosphere feedbacks, provide more precise projections of lake horizontal and vertical temperature structures, and document and project lake biota and ecosystem responses to changes in lake thermal condition over large spatial scales and under different climate scenarios.","Biology","2022","","Crump, Byron","Toolik","","Collaborative Research: An exploration of the direct and indirect effects of climatic warming on arctic lake ecosystems","Alaska ","2016, 2017, 2018, 2019, 2022","2016"
"1603321","The edge of the shallow continental shelf (called the 'shelf break') in the Beaufort Sea is vulnerable both to direct impacts of ongoing climate change and to indirect impacts that may result from increased human activity in response to new opportunities associated with ocean warming and sea ice reduction. Beaufort Sea shelf break upwelling may be increasing in frequency in response to recent large-scale atmospheric changes, potentially increasing the importance of the shelf-break environment for a range of upper trophic level animals. This grant will support research to increase our understanding of the importance of the region to upper trophic levels such as beluga whales, seabirds, and seals, provide a mechanistic understanding of the linked atmosphere-ocean- plankton-predator system, and predict future consequences and impacts of environmental change on this system.     A substantial communications program built upon long-standing, well-established relationships between the researchers and Alaska North Slope communities and subsistence organizations is planned both to coordinate the planned sampling and to convey the results of the research back to the communities. Information will be disseminated locally before and during two research cruises using a range of media including daily email reports, Facebook pages, blogs, interviews on local radio stations, and flyers. A comprehensive project report, a summary report written in straightforward English, and a poster describing results will be disseminated to the North Slope communities. Project members will also present results of the research in local lecture series or to interested local organizations. Involvement of a K-12 teacher in at least one of the cruises is planned. Both cruises will have the participation of a local community observer who will communicate directly with local communities during the cruise and share local knowledge with the science party.     The Beaufort Sea shelf break experiences frequent upwelling of deep, nutrient rich basin water onto the shelf. Such upwelling is not only a short-term source of heat, salt, and nutrients, and a mechanism promoting elevated primary production (production response), but it also transports populations between ocean regions and depth strata or regimes (physical response), potentially modifying ecosystem structure and availability of zooplankton and fish prey to upper trophic level consumers. The Beaufort Sea shelf break is a domain of enhanced abundance of upper trophic level animals, presumably in response to elevated availability of their prey. Here researchers will explore and identify the mechanisms linking broad-scale atmospheric forcing, ocean physical response, prey-base condition and distribution, upper trophic level animal aggregations, and climate change along the Beaufort Shelf break. The project's overarching hypothesis is that atmospherically-forced (wind-induced) upwelling along this shelf break leads to enhanced feeding opportunities for intermediate links in the pelagic ecosystem (zooplankton, forage fish) that in turn sustain the exploitation of this environment by animals such as beluga whales, seabirds, and seals. This hypothesis will be addressed using a combination of ship-based fieldwork, long-term moorings equipped with physical and biological sensors, and syntheses of retrospective and projected model output and longer-term data. The distributions, abundances, condition, and biology of multiple trophic levels will be described within the context of the dynamics of the physical environment to expand our understanding of trophic linkages and the importance of shelf-break upwelling to that system. Physical and biological model output and retrospective data will be synthesized with the mechanistic understanding gained during the field program to retrospectively characterize wind-driven upper trophic level ecosystem variability and predict how the ecosystem may respond to future projections of these atmospheric drivers and ice-ocean conditions.","Oceanography","2019","","Campbell, Robert","Beaufort Sea, Kaktovik, Nome, Utqiaġvik","","Collaborative Research: The Importance of Shelf Break Upwelling to Upper Trophic Level Ecology in the Western Beaufort Sea","Alaska ","2017, 2018, 2019","2016"
"1603331","A substantial fraction of meltwater of the Greenland ice sheet is retained in firn (liquid or refrozen) rather than running off into the ocean. Unusually thick, near-surface, ice lenses have recently been discovered in the firn and are thought to be the result of exceptionally large recent melt events. This suggests that the larger volumes of meltwater produced in recent years may have been prevented from percolating into deeper firn layers, as has typically been observed in the past, and have instead run off immediately. As a result, a qualitatively different and new ’state’ of the firn has to be taken into account when attempting to quantify the mass balance of the ice sheet, and estimates based on our current state of knowledge are probably subject to larger uncertainty than previously thought. Refreezing, as the mechanism which creates impenetrable ice lenses, emerges as a crucial process in the redistribution of surface runoff and therefore in the determination of surface mass balance (SMB) of the Greenland ice sheet. To quantify this impact on the current and future SMB, this project will combine detailed field observations in the Kangerlussuaq section of the Greenland ice sheet with numerical modeling of the relevant components of the climate system. Project goals are: 1) to investigate the changes and quantify the spatio-temporal variability of the firn by analyzing shallow firn cores and subsurface data at selected sites covering a wide range of elevations and climatic conditions, and compare these new observations to similar data from past decades and remotely sensed observations of firn structures; 2) to quantify the role of refreezing on the SMB with the help of a regional climate model and a high-resolution distributed energy balance model, both of which include a sub-surface snow/firn model; 3) to perform simulations of the spatio-temporal evolution of the SMB with an improved representation of refreezing process under different emission scenarios through the year 2100.","Cryosphere","2020","","Tedesco, Marco","Core_3, Core_4, Core_7, Core_8, DYE-2, EKT, KAN-U, Kangerlussuaq, Raven, Site J","","Collaborative Research: Refreezing in the firn of the Greenland ice sheet: Spatiotemporal variability and implications for ice sheet mass balance","Greenland ","2017, 2018, 2019","2016"
"1603361","The insulating and reflective properties of snow substantially influence Arctic sea ice growth and decay. The overwhelming consensus within the scientific community is that the details of snow and sea ice interactions must be better incorporated in Earth System models, yet basic information on snow processes remains poorly quantified. The limited treatment of snow in Earth System models is largely based on datasets from field experiments on multi-year ice and does not capture changing snow properties and processes. Increasingly pervasive younger, thinner ice carries a different snowpack and is likely much more sensitive to snow conditions than the multi-year ice of the past. Predicting Arctic climate requires that we understand snow on sea ice and its interactions and feedbacks among the rest of the climate system components. A particularly important aspect of snow on sea ice is its fine-scale spatial redistribution. Wind-driven snow redistribution into dunes and drifts controls thermal fluxes and melt pond formation, exerting considerable control over ice mass balance. The principal investigators of this project will study snow distribution, its variability, and its effects on ice mass balance using an integrated field observation and modeling approach.    This project will contribute to STEM workforce development in multiple fashions. It will provide support for an early-career scientist during his formative years. It will support the training of a graduate student. It will entrain undergraduate students and high school interns into the research effort. Outreach to local schools near the institutions of the principal investigators will be enabled through blogs and classroom presentations. The project will enable an outreach program targeted at improving science engagement at the Barrow schools.    Field programs will track snow distributions over the course of a multi-month experiment, while modeling efforts will seek to reproduce the observed evolution of snow conditions. Lidar technology will track snow surface position as drifts build, erode, and migrate, creating time series of three-dimensional snow surface models with cm-scale accuracy. Snow properties observed in pit studies will be synthesized with surface position maps to construct a three-dimensional snow stratigraphy for model initialization and the study of aggregate snow thermal properties. The observations will be integrated into a pair of resolved-scale snow and sea ice models to quantify impacts of snow redistribution on sea ice mass balance through alteration of thermal conduction and melt pond formation. Model trials and development will permit investigation of the representations of snow redistribution in the models and will quantify the importance of snow processes on the annual ice mass balance. A library of prior field observations and short visits to offshore sites will be used to validate the generality of the field sites and assess the variability of snow distributions. The model will also be used to investigate how to best aggregate (or parameterize) snow properties and processes at coarser resolutions found in Earth System models. Findings and results will be shared with the Earth System modeling community to support development of improved snow-on-sea-ice representations.","Cryosphere","2019","","","Utqiaġvik","","Collaborative Research: Snow, Wind, and Time: Understanding Snow Redistribution and Its Effects on Sea Ice Mass Balance","Alaska ","2016, 2017, 2018","2016"
"1603452","The Greenland Ice Sheet is the largest remaining continental ice sheet in the northern hemisphere. Past and future arctic warming leads to ice sheet retreat and alters the fundamental nature of weathering and the delivery of nutrients and elements to the ocean. The proposed work is focused on the hydrological, biological, biogeochemical, and isotopic signatures of proglacial watersheds, which are watershed that convey dilute but high volume glacial meltwater from the top and underneath the ice sheet to the ocean, and deglaciated watersheds, which are watersheds that are no longer physically connected to the ice sheet and sourced only by annual precipitation and permafrost melt. Although deglaciated watersheds have received less attention, preliminary work suggests they may be equally or more important than proglacial watersheds for oceanic and atmospheric fluxes. Moreover, as ice sheets melt, the area contributing to meltwater and constituent fluxes will increasingly be from deglaciated watersheds. The understanding gained from this work will provide a context for the prediction of future land-ocean and land-atmosphere fluxes in response to continued ice sheet retreat. This project therefore addresses the question of how mineral weathering reactions impact atmospheric CO2 and oceanic nutrient and isotope delivery across proglacial and deglacial watersheds in three environmentally distinct regions of Greenland. Results of the project have the potential to change our understanding of global CO2, nutrient, and isotope cycling in response to ice sheet collapse and permit predictions of future responses to global warming and ice sheet retreat. Results will also provide a context to interpret past high latitude ice sheet retreat and climate change based on marine isotope records. The project includes training for undergraduate, graduate, and postdoctoral researchers, as well as a collaboration with students and faculty at a Greenlandic academic institution.    This study will test the hypotheses that (1) deglacial and proglacial watersheds contribute distinct elemental, isotopic, and nutrient fluxes to the ocean and atmosphere as a result of evolving weathering patterns, and (2) these reactions and associated fluxes will change within and between watersheds as the Greenland Ice Sheet retreats. The project focuses on three field areas: deglacial and proglacial watersheds near Kangerlussuaq and Narsasuaq and a deglacial watershed near Sisimiut. Each area has a distinct water balance, exposure age, and weathering characteristics, and will be sampled three times over two melt seasons to evaluate intra-seasonal and inter-annual variations. Mass balance models and PHREEQc modeling of solute data will be used to identify and assess extents of weathering reactions. Weathering extents will also be estimated based on trends in proportional contributions of minerals and offsets between dissolved and bedload strontium and lead isotope ratios, and will be linked to phosphorous fluxes and organic carbon lability and degradation. This holistic approach will provide a broad view of the relative elemental, nutrient and isotopic fluxes in proglacial and deglacial environments. These results will provide magnitudes, time scales, and drivers of weathering reactions, with a goal of linking fluxes to past records and future predictions of global climate change associated with continental ice sheet collapse.","Geological Sciences","2019","","","Kangerlussuaq, Narsarsuaq, Nuuk, Qôrnup Qua, Sisimiut","","Neglected fluxes: Understanding the evolution of weathering as continental ice sheets retreat","Greenland ","2017, 2018","2016"
"1603460","The highly productive and economically important Walleye Pollock commercial fishery of the Bering Sea depends on poorly understood food web pathways. Primary producers of organic carbon, notably diatoms, are consumed by large crustacean zooplankton, which, in turn, are consumed by juvenile pollock. The dominant paradigm for the system suggests that understanding changes in the biomass of large crustacean zooplankton can help estimate the survival of juvenile pollock; however, recent data show two orders of magnitude uncertainty in the carbon demand of large crustacean zooplankton. Such uncertainties impact the ability to manage the fishery. A revised model for the system has been planned that involves consideration of both the quantity and quality of organic matter produced by diatoms and how this would constrain support for the commercial fishery. Before investing in a major field effort to test this approach, this project will assess the expected magnitude of change and associated errors, for diatom organic matter production, including the individual terms that are used to estimate it, i.e. abundance, growth rate, and cell carbon. This effort will be based on laboratory experiments and historical data analysis.     The project will contribute to STEM workforce development through partial support for the training of a post-doctoral associate. Undergraduates would be entrained into the science through an REU program at Bigelow Laboratory for Ocean Sciences and through the Colby College Semester at Bigelow program. K-12 outreach will be facilitated through participation in the successful and long-standing Dauphin Island Sea Lab Discovery Hall program. Outreach to the general public will be accomplished through a blog, Bigelow’s Café Scientifique, and the Bigelow newsletter. The long-term goal for the research that this project would initiate is improved mechanistic and predictive models for commercial fisheries management.    There is no consensus on the mechanistic relationship of where carbon from the lower trophic levels goes in the Bering Sea ecosystem, hence simple proportionality relationships between primary production and fisheries are used routinely. Bottom-up control on age-0 walleye pollock prey, i.e. large crustacean zooplankton (LCZ), could help constrain this coupling between the primary producers and pollock fishery, but there is a two-order-of-magnitude uncertainty in the LCZ carbon demand based on estimates from the Bering Sea Ecosystem Study (BEST). A new conceptual model is required and this project will begin to refine the issue by focusing on diatoms, which have a less patchy distribution than LCZ and are a key prey item of LCZ. A major knowledge gap exists in the understanding of the magnitude of diatom loss processes; the logical next step to understanding the fundamental linkage between primary production and fisheries in the eastern Bering Sea is to answer: what is the proportion of diatom primary production available for supporting higher trophic organisms and with which biogeochemical variables does this covary? Before testing this approach in a field setting, the expected magnitude of change and associated error for diatom organic matter production, including the individual terms that go into that estimate (i.e. abundance, growth rate, cell carbon), must be understood. This project will combine culture studies using diatoms isolated from high-latitude regions with literature and BEST program data to meet this initial objective.","Oceanography","2019","","Lomas, Michael","Bering Sea, Chukchi Sea","","Collaborative Research: What Controls the Transfer of Diatom Organic Matter to age-0 Pollock Prey in the Bering Sea Ecosystem?","Arctic Ocean and Seas ","2017","2016"
"1603473","The importance of Boreal and Arctic landscapes is recognized by the scientific community as an important area of research. The overarching theory to be tested in this grant is that the current controls over vegetation growth are not operating as they have been in the past. The investigators have at hand a detailed network of ground measurements of tree-ring data collected across a range of Boreal and Arctic forests and shrublands sites in Alaska and adjacent Canada. This data will be compared with satellite based remote sensing proxies of vegetation productivity. The work is by and large an analysis and comparison of two independent methods for assessing vegetation growth variability in Arctic ecosystems.    This project will contribute to the education of the general public (e.g. annual open house exhibits, websites, blogs from the field), and will partially fund a post-doctoral researcher who will have the opportunity to expand their scientific experience and knowledge of this topic.    This work will focus on Boreal and Arctic forests and shrublands across Alaska and adjacent Canada, regions that are experiencing some of the most rapid warming on the globe today. Satellite observations have revealed significant vegetation productivity trends (both greening and browning) of vegetation at high northern latitudes, with distinct differences between North America and northern Eurasia biomes and between tundra and boreal regions. At the same time, some observations show that the strong correlation between northern tree growth and temperature appears to be weakening in recent decades. The overarching theory to be tested in this project is that the current controls over vegetation growth are not operating as they have been in the past. The investigators have at hand a detailed network of in situ ground measurements of tree-ring data collected from across this region. This data will be compared with remote sensing proxies of vegetation productivity (from satellite NDVI), across a range of Boreal and Arctic forests and shrublands sites in Alaska and adjacent Canada. The work will include one year of field data in regions of high priority where the investigators will extract up to date tree ring cores for comparison with recent air temperature and remote sensing records.","Biology","2019","","","Arrigetch Peaks, Noatak River","","Collaborative Research: Determining the Vulnerability and Resilience of Boreal Forests and Shrubs across Northwestern North America","Alaska ","2017","2016"
"1603548","The WARM (The WArming and irRadiance Measurement ) buoy collects measurements of light, temperature, salinity and phytoplankton abundance under the Arctic sea ice. The Arctic ice pack has suffered continued thinning and reduction in seasonal extent, resulting in changes to the amount of sunlight penetrating through the ice and into the ocean beneath, having consequences for the physical and biological environment. Sunlight absorbed by the ocean under the ice causes warming, which can lead to accelerated ice melt resulting in even more sunlight reaching the ocean. In addition, warmer water also affects living organisms, influencing the ability of Arctic adapted species to survive, and possibly promoting the northward advancement of sub-Arctic species. Thinner ice also increases light available for photosynthesis, affecting the timing of phytoplankton blooms. If phytoplankton growth occurs early in the season then zooplankton, the organisms that feed on them can miss the bloom with consequences for the entire food web of the Arctic. This project aims to provide observations to help determine how the under-ice environment is changing by using autonomous buoys which overcome the limitations of ship-based observations. The buoys have proven to be very robust and can survive for approximately one year, providing hourly observations which will be available in near-real time to the research community and interested public parties. The buoys will be deployed in early spring in the western Beaufort Sea, with anticipated drift west over the Chukchi Shelf.     This project will continue the WARM buoy initiative by improving the existing design to include increased vertical resolution of temperature and light measurements, the addition of salinity measurement to enable water mass identification, and a second fluorometer to identify sinking phytoplankton biomass. The data collected will provide a time series of important physical and biogeochemical properties over a complete seasonal cycle. It will enable us to address questions related to the effects of a thinner and more open ice pack on the absorption of solar radiation, ocean heating, the phenology of pelagic primary production, and carbon cycling. The buoys have proven to be very robust and can survive for approximately one year, providing hourly observations which will be available in near real time to the research community and interested public parties. The buoys will be deployed in early spring in the western Beaufort Sea, with anticipated drift west over the Chukchi Shelf. The Arctic ice pack acts as a barrier controlling the availability of UV and visible light to the water column. Continued thinning and reduction of seasonal Arctic ice has resulted in alterations in the timing and magnitude of solar radiation penetrating the upper Arctic Ocean. Amplification of solar radiation absorption into the ocean acts to warm and stratify the surface layer, which can induce further ice retreat and delay fall freeze-up. Resulting thermal stratification affects the ecosystem by limiting vertical replenishment of nutrients with a direct consequence on the magnitude of primary production. A warmer water column can also play a fundamental role in setting thresholds for the abundance and distribution of plankton communities, affecting trophic efficiency and promoting the northward advancement of sub-Arctic species. Thinner ice increases the light available for photosynthesis and net primary production, affecting the timing of primary production. Small timing mis-match between phytoplankton blooms and zooplankton reproductive cycles can have consequences for the entire lipid-driven Arctic marine ecosystem. Changes in the duration of UV exposure through longer open water periods has the potential to increase photochemical remineralization of terrestrial and marine organic matter and production of labile organic material that can be used by microbes. Determining the impact of solar radiation changes on warming, primary production, and photochemistry are all critical in assessing and predicting the effects of climate change on the marine carbon cycle. The measurement of these variables within and beneath the seasonal ice pack is challenging due to the limitations of ship based observations, but this can be resolved by using the autonomous WARM buoys deployed within the ice and designed to survive ice melt.","Oceanography","2019","","","Prudhoe Bay","","Collaborative Research: The WArming and irRadiance Measurement (WARM) buoy: Assessing the role of solar energy in heating, photosynthesis, and photo-oxidation in the upper Arctic","Alaska ","2017, 2018","2016"
"1603560","Small mammals graze on the vegetation of the Arctic tundra. Although this grazing may influence many aspects of tundra ecosystems, current models do not include grazing by small mammals. In this project, the abundance of voles and lemmings will be varied experimentally using fenced plots. The investigators will observe the responses in the plots, especially focusing on changes in the cycling of carbon and nitrogen. To understand how the current climate controls the importance of grazing by small mammals, the investigators will conduct their studies at three sites in Alaska located in the Seward Peninsula, the foothills of the Brooks Range, and on the Arctic coastal plain. The natural abundance of voles and lemmings will be studied at these sites to provide background for applying the experimental results throughout the Arctic. The results will be used to expand a mathematical model of tundra ecosystems to include grazing by small mammals, which will improve the predictions that can be made about how the Arctic may change in the future. The research will involve a number of undergraduate students and investigators will integrate their research into classes and other educational programs. In addition, they will present a radio program in Barrow, AK.     The investigators will investigate the importance of herbivory by small mammals in controlling the cycling of carbon and nutrients in the rapidly changing Arctic tundra. Through studies at three sites along a latitudinal gradient, the investigators will employ both observations and experiments to quantify the role of grazing by rodents (voles and lemmings) in the functioning of tundra ecosystems. The observations of rodent population dynamics along with ecosystem function will provide key new information relevant to understanding the feedbacks of the Arctic tundra to the global climate. The manipulation of rodent density through exclosures and enclosures will show how potential changes in rodent populations may influence the tundra ecosystem response. In corporation of the observational and experimental results into a quantitative ecosystem model will enhance predictions of future changes and feedbacks with climate.","Biology","2024","","Rastetter, Edward","Fairbanks, Nome, Seward Peninsula, Toolik, Utqiaġvik","","Collaborative Research: Adding animals to the equation: assessing herbivore impacts on carbon cycling in northern Alaska","Alaska ","2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","2016"
